device_id,timestamp,latency_ms,packet_loss_pct,bandwidth_mbps,cpu_usage_pct,memory_usage_pct,connections,network_status
R001,2026-09-01 08:00,18,0.1,940,32,45,120,Normal
R002,2026-09-01 08:05,25,0.2,850,41,52,145,Normal
R003,2026-09-01 08:10,32,0.5,780,48,55,160,Normal
R004,2026-09-01 08:15,45,1.0,650,58,61,180,Warning
R005,2026-09-01 08:20,52,1.5,590,63,65,195,Warning
R006,2026-09-01 08:25,75,2.5,480,70,70,220,Warning
R007,2026-09-01 08:30,110,4.0,350,78,76,250,Critical
R008,2026-09-01 08:35,145,6.5,240,85,82,280,Critical
R009,2026-09-01 08:40,180,9.0,150,93,89,310,Critical
R010,2026-09-01 08:45,22,0.1,910,35,48,130,Normal
R011,2026-09-01 08:50,28,0.3,820,44,53,150,Normal
R012,2026-09-01 08:55,48,1.2,620,60,63,185,Warning
R013,2026-09-01 09:00,68,2.0,510,68,69,210,Warning
R014,2026-09-01 09:05,125,5.0,290,82,79,270,Critical
R015,2026-09-01 09:10,190,10.0,120,96,92,330,Critical
